"game_id","play_index","row_type","play_type","pos_team","def_pos_team","penalty_flag","penalty_yards_signed","penalized_team","penalty_no_play","penalty_declined","yards_gained","penalty_text","play_text"
"20250920_l58t",74,"play","rush","Carnegie Mellon","Berry",TRUE,-15,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU chop block 15 yards to the CMU46, NO PLAY.","Joey McGinnis I rush for 13 yards to the BERRY26 (Steven Pickett), out-of-bounds, PENALTY CMU chop block 15 yards to the CMU46, NO PLAY."
"20250920_l58t",78,"play","rush","Carnegie Mellon","Berry",TRUE,15,"Berry",FALSE,FALSE,3,"PENALTY BERRY personal foul 15 yards to the CMU45.","Willem Bouma rush for 3 yards to the CMU30 (Ben Brookshire; Christopher Lew), PENALTY BERRY personal foul 15 yards to the CMU45."
"20250920_l58t",90,"play","pass_complete","Berry","Carnegie Mellon",TRUE,-15,"Berry",TRUE,FALSE,,"PENALTY BERRY offense pass interference (Juelz Davis) 15 yards to the BERRY35, NO PLAY.","Andrew Hunter pass complete to Colby Sikes for 13 yards to the CMU37 (Tai Mann), out-of-bounds, PENALTY BERRY offense pass interference (Juelz Davis) 15 yards to the BERRY35, NO PLAY."
"20250920_l58t",91,"penalty_no_play","penalty_no_play","Berry","Carnegie Mellon",TRUE,10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU holding 10 yards to the BERRY45.","PENALTY CMU holding 10 yards to the BERRY45."
"20250920_l58t",98,"play","pass_complete","Berry","Carnegie Mellon",TRUE,-5,"Berry",TRUE,FALSE,,"PENALTY BERRY illegal shift 5 yards to the CMU44, NO PLAY.","Andrew Hunter pass complete to Colby Sikes for 17 yards to the CMU22, out-of-bounds, PENALTY BERRY illegal shift 5 yards to the CMU44, NO PLAY."
"20250920_l58t",101,"penalty_no_play","penalty_no_play","Carnegie Mellon","Berry",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU false start 5 yards to the CMU21.","PENALTY CMU false start 5 yards to the CMU21."
"20250920_l58t",125,"penalty_no_play","penalty_no_play","Berry","Carnegie Mellon",TRUE,-5,"Berry",TRUE,FALSE,,"PENALTY BERRY false start 5 yards to the CMU34.","PENALTY BERRY false start 5 yards to the CMU34."
"20250920_l58t",128,"play","rush","Carnegie Mellon","Berry",TRUE,-10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU holding (Conor Gaul) 10 yards to the CMU18, NO PLAY.","Willem Bouma rush for 3 yards to the CMU31 (Alex Mincey), PENALTY CMU holding (Conor Gaul) 10 yards to the CMU18, NO PLAY."
"20250920_l58t",132,"play","punt_no_return","Carnegie Mellon","Berry",TRUE,15,"Berry",TRUE,FALSE,,"PENALTY BERRY personal foul 15 yards to the CMU39, NO PLAY.","John Norell punt 30 yards to the BERRY46, fair catch by Nate Lyons, PENALTY BERRY personal foul 15 yards to the CMU39, NO PLAY."
"20250920_l58t",142,"penalty_no_play","penalty_no_play","Berry","Carnegie Mellon",TRUE,-5,"Berry",TRUE,FALSE,,"PENALTY BERRY false start (Bryson Hill) 5 yards to the BERRY10.","PENALTY BERRY false start (Bryson Hill) 5 yards to the BERRY10."
"20250920_l58t",148,"play","pass_incomplete","Berry","Carnegie Mellon",TRUE,15,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU pass interference (Victor Ruhland) 15 yards to the CMU35, NO PLAY.","Andrew Hunter pass incomplete to Khamari Smith, PENALTY CMU pass interference (Victor Ruhland) 15 yards to the CMU35, NO PLAY."
"20250920_l58t",151,"two_point","two_point","Berry","Carnegie Mellon",TRUE,,"Berry",FALSE,TRUE,,"PENALTY BERRY ineligible man down field declined.","Nate Lyons pass attempt to TEAM failed, PENALTY BERRY ineligible man down field declined."
"20251004_gwn0",8,"play","punt_no_return","McDaniel","Carnegie Mellon",TRUE,3,"Carnegie Mellon",FALSE,FALSE,,"PENALTY CMU holding (Ethan Ming) 3 yards to the CMU03.","Braden Fritz punt 46 yards to the CMU06, downed, PENALTY CMU holding (Ethan Ming) 3 yards to the CMU03."
"20251004_gwn0",15,"play","rush","McDaniel","Carnegie Mellon",TRUE,-10,"McDaniel",TRUE,FALSE,,"PENALTY MCD holding 10 yards to the MCD27, NO PLAY.","Jayden Booker rush for loss of 6 yards to the MCD31 (Ty Kadur), PENALTY MCD holding 10 yards to the MCD27, NO PLAY."
"20251004_gwn0",23,"play","rush","Carnegie Mellon","McDaniel",TRUE,7,"McDaniel",FALSE,FALSE,0,"PENALTY MCD face mask (Kendrick Willia) 7 yards to the MCD07.","Joey McGinnis I rush for no gain to the MCD14 (Kendrick Willia), PENALTY MCD face mask (Kendrick Willia) 7 yards to the MCD07."
"20251004_gwn0",26,"play","rush","Carnegie Mellon","McDaniel",TRUE,2,"McDaniel",TRUE,FALSE,,"PENALTY MCD offside defense 2 yards to the MCD01, NO PLAY.","Mark Wamhoff rush for 2 yards to the MCD01 (Taevon LeGrande), PENALTY MCD offside defense 2 yards to the MCD01, NO PLAY."
"20251004_gwn0",36,"play","rush","Carnegie Mellon","McDaniel",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU illegal formation 5 yards to the MCD14, NO PLAY.","Shadrak Agyei rush for 9 yards to the MCD00, TOUCHDOWN, clock 14:55, PENALTY CMU illegal formation 5 yards to the MCD14, NO PLAY."
"20251004_gwn0",44,"play","pass_intercepted","McDaniel","Carnegie Mellon",TRUE,15,"Carnegie Mellon",FALSE,FALSE,,"PENALTY CMU unsportmanlike conduct (Ethan Ming) 15 yards to the MCD48.","Jayden Booker pass intercepted by Ethan Ming at the MCD34, Ethan Ming return 1 yards to the MCD33, PENALTY CMU unsportmanlike conduct (Ethan Ming) 15 yards to the MCD48."
"20251004_gwn0",46,"play","pass_incomplete","Carnegie Mellon","McDaniel",TRUE,-10,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU holding (Sam Alligood) 10 yards to the MCD42, NO PLAY.","Joey McGinnis I pass incomplete to Brendan McCullo (Chris Wilson), PENALTY CMU holding (Sam Alligood) 10 yards to the MCD42, NO PLAY."
"20251004_gwn0",64,"play","rush","Carnegie Mellon","McDaniel",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU illegal shift 5 yards to the CMU41, NO PLAY.","Giacomo Valente rush for 4 yards to the 50 yardline (Kyree Shingler; Kendrick Willia), PENALTY CMU illegal shift 5 yards to the CMU41, NO PLAY."
"20251004_gwn0",73,"penalty_no_play","penalty_no_play","Carnegie Mellon","McDaniel",TRUE,-5,"Carnegie Mellon",TRUE,FALSE,,"PENALTY CMU false start (Zach Llenza) 5 yards to the CMU36.","PENALTY CMU false start (Zach Llenza) 5 yards to the CMU36."
